Addr,Lat,Lon
"1900-03-22 00:00:00,chamarajanagar,nan,Bangalore,Karnataka,560085",11.9261471,76.9437312
"G430, 5th Cross,HAL OLD TWS,nan,Bangalore,Karnataka,560017",12.9552983,77.6616177
"no.13,Banashankri,nan,Bangalore,Karnataka,560001",12.9765944,77.5992708
"e-612,Raheja Residency,Kiramangala,Bangalore,Karnataka,560034",12.927931,77.631255
"1900-09-10 00:00:00,Kdathi gate, Sarjapura main road,nan,Bangalore,Karnataka,560035",12.9096692,77.6870813
"145./21,Rathansue,nan,Bangalore,Karnataka,560025",12.9662156,77.6067998
"1900-09-29 00:00:00,12th Main, BSK 1st Stage, 2nd Block,nan,Bengaluru,Karnataka,560050",12.9427633,77.5594196
"208, Comfort Arizona,Old Post Office Road,Yelachanahalli,Bengaluru,Karnataka,560078",12.9013064,77.5712496
"F1002,Gubbhala Village,nan,Bangalore,Karnataka,560082",12.7930129,77.5051501
"No 7, E No 1115,H.K.P Road,nan,Bangalore,Karnataka,560001",12.9886242,77.6026958
"1900-07-21 00:00:00,Friends Paradise Apartment,Munireddy Layout, Mahadevapura,Bangalore,Karnataka,560048",12.9901724,77.6835299
"1900-02-13 00:00:00,1st Main, 10 B cross, JC Nagar, Mahalakshmipuram,nan,Bengaluru,Karnataka,560086",13.014248,77.5450112
"1903-07-19 00:00:00,9th Main, 9th Cross, BEML, RR Nagar,nan,Bengaluru,Karnataka,560048",12.9214719,77.517713
"38, Thirumala Apartments,KHB Colony, Basaveshwara nagar,nan,Bangalore,Karnataka,560079",12.9833029,77.5399033
"38, Thirumala Apartments,KHB Colony, Basaveshwara nagar,nan,Bangalore,Karnataka,560079",12.9833029,77.5399033
"38, Thirumala Apartments,KHB Colony, Basaveshwara nagar,nan,Bangalore,Karnataka,560079",12.9833029,77.5399033
"38, Thirumala Apartments,KHB Colony, Basaveshwara nagar,nan,Bangalore,Karnataka,560079",12.9833029,77.5399033
"G 104,Sri Bhagwan Elite Apts, 59, Manipal County Road,Singasandra,Bangalore,Karnataka,560068",12.8730771,77.6441754
"KV 1091,1st Cross, BM layout,Venkateshpura,Bangalore,Karnataka,560045",13.0153786,77.62658
"1900-12-01 00:00:00,Rossarian Church, Carmelaram PO,nan,Bangalore,Karnataka,560035",12.9088622,77.7064034
"1900-01-25 00:00:00,1st Main, Kempaiah Block,nan,Bangalore,Karnataka,560006",13.0098531,77.5971875
"B 306,Paramjape Windfield,Yemlur,Bangalore,Karnataka,560037",12.9477003,77.6731896
"971/5,15th A cross,Yelhanka New Town,Bangalore,Karnataka,560064",13.0926435,77.5860527
"971/5,15th A cross,Yelhanka New Town,Bangalore,Karnataka,560064",13.0926435,77.5860527
"1900-01-03 00:00:00,Miniswamy Road,Taskertown ,Bangalore,Karnataka,560051",12.9812141,77.6070703
